Dataset,Qubits,Gradient_Variance
Iris,2,0.3562924
Iris,4,0.00053162983
Iris,8,0.00047078982
Iris,12,0.00030901
Iris,16,0.00025868777
Iris,20,0.00019372141
MNIST,2,0.13444015
MNIST,4,0.11744182
MNIST,8,0.117084995
MNIST,12,0.11560143
MNIST,16,0.06548203
MNIST,20,0.00031235284
MedMNIST,2,0.535949
MedMNIST,4,0.295482
MedMNIST,8,0.16984822
MedMNIST,12,0.14857449
MedMNIST,16,0.045779176
MedMNIST,20,0.010395288
