Epoch,Loss,Gradient,Gradient_Variance
1,1.7021917796187624,0.67415977,
2,1.701430063325349,0.6757851,
3,1.7006643447073575,0.6774083,
4,1.6998953471298883,0.67902994,
5,1.6991227357766288,0.68064994,
6,1.698347732049054,0.6822692,
7,1.6975696533838323,0.6838874,
8,1.6967869083213338,0.68550324,
9,1.696002335756754,0.6871192,
10,1.6952134478181284,0.6887333,
11,1.6944210007095462,0.690346,
12,1.693624740059305,0.6919576,
13,1.6928253913364226,0.69356835,
14,1.6920225318216204,0.69517833,
15,1.691215456223496,0.6967868,
16,1.690404910809921,0.6983944,
17,1.6895910773887886,0.70000154,
18,1.6887721916953327,0.70160663,
19,1.6879496835343613,0.703211,
20,1.6871239047521494,0.7048149,
21,1.6862940975741314,0.7064179,
22,1.6854593789703862,0.70801914,
23,1.684621567277589,0.70962024,
24,1.6837792851230642,0.71122015,
25,1.6829337228200316,0.71281976,
26,1.682083630019614,0.71441793,
27,1.6812293062214023,0.71601534,
28,1.6803699987940226,0.717611,
29,1.679506987073652,0.71920615,
30,1.67863955811904,0.7208001,
,,,0.00019372141
