Epoch,Loss,Gradient,Gradient_Variance
1,2.2782064388068926,0.30912563,
2,1.51250020694678,0.24878201,
3,1.766721571306932,0.27560103,
4,1.7659832083992462,0.2803623,
5,2.2747655396799917,0.33156216,
6,1.7644450724151541,0.2900005,
7,1.5090026078511494,0.27087465,
8,2.017408915591023,0.32412836,
9,2.016516501957905,0.32936335,
10,2.015595707785149,0.3346752,
11,1.5059177082088235,0.28876948,
12,1.7593916413915804,0.3193515,
13,1.7584929960977562,0.32425106,
14,2.0117207408996696,0.3560251,
15,1.5025694106782939,0.3068279,
16,1.7556754989273728,0.33907598,
17,1.7547054624361702,0.34400615,
18,2.007541936391296,0.37748212,
19,2.260186646118203,0.41184273,
20,2.0053001291079244,0.3884159,
21,1.7505527517050066,0.36419916,
22,2.0029154343658027,0.3996483,
23,2.00169001696573,0.40527314,
24,2.000433610126402,0.4109425,
25,1.9991466214361935,0.41664857,
26,1.9978310304269369,0.42238557,
27,1.9964860062167766,0.42814797,
28,1.7422330534194566,0.40095836,
29,2.4992769987207435,0.506525,
30,2.2449725975141908,0.47934866,
,,,0.010395288
