Dataset,Qubits,Gradient_Variance
Iris,2,0.00036796386,
Iris,4,0.00010887374,
Iris,8,9.022408e-05,
Iris,12,6.127981e-05,
Iris,16,2.324335e-05,
Iris,20,3.5286173e-06
MNIST,2,0.00024396712
MNIST,4,0.00018989349
MNIST,8,0.00018714601
MNIST,12,0.00015352086 
MNIST,16,0.00014105416
MNIST,20,8.792812e-05
MedMNIST,2,0.13742869
MedMNIST,4,0.13457806
MedMNIST,8,0.10128581
MedMNIST,12,0.07230183 
MedMNIST,16,0.060465943
MedMNIST,20,0.012333187
