Epoch,Loss,Gradient,Gradient_Variance
1,1.8905758205681575,1.0621575,
2,1.2022579798124264,0.79790074,
3,1.884009597276185,1.066168,
4,1.880612648804511,1.0682741,
5,1.1949146371080805,0.80054647,
6,1.8740113109193028,1.0719972,
7,1.189948223434936,0.80215883,
8,1.1874675921001334,0.80290467,
9,1.864096301852349,1.077304,
10,1.8609093568212212,1.0788118,
11,1.180055159400678,0.80482817,
12,1.8539483214014396,1.0822152,
13,1.1748490214493215,0.80608416,
14,1.8471737079848296,1.0851709,
15,1.1699981201608936,0.8066759,
16,1.1672219568559634,0.8073194,
17,1.1646938685612997,0.8077232,
18,1.1623337992468363,0.80793285,
19,1.8303280786334153,1.0917773,
20,2.4966786383897914,1.377236,
21,1.1547031403403716,0.80857974,
22,1.1520452066930382,0.8086278,
23,1.1494272079196064,0.80869883,
24,1.1468364686453523,0.80878836,
25,1.8094738062218994,1.0978928,
26,1.8058622861380276,1.0988868,
27,1.8022647843451114,1.0996556,
28,1.798452611808478,1.100464,
29,2.4555466520962246,1.3944415,
30,1.1306228745663123,0.80756944,
,,,0.16522102
