Dataset,Qubits,Gradient_Variance
Iris,2,0.8628078
Iris,4,0.67776835
Iris,8,0.40668043
Iris,12,0.00040636217
Iris,16,0.00013331253
Iris,20,7.2146766e-05
MNIST,2,0.14066082
MNIST,4,0.13046706
MNIST,8,0.10925705
MNIST,12,0.050030485
MNIST,16,0.022889724
MNIST,20,0.00019377003
MedMNIST,2,0.59033126
MedMNIST,4,0.31631783
MedMNIST,8,0.27682754
MedMNIST,12,0.16522102
MedMNIST,16,0.047813043
MedMNIST,20,0.03598252
