Dataset,Qubits,Gradient_Variance
Iris,2,0.0003107663
Iris,4,0.00013643829
Iris,8,9.7405726e-05
Iris,12,6.305573e-05
Iris,16,6.0200564e-05
Iris,20,2.1424241e-05
MNIST,2,0.00035361544
MNIST,4,3.3959288e-05
MNIST,8,8.390615e-06
MNIST,12,2.4210906e-06
MNIST,16,2.3311943e-06
MNIST,20,1.756036e-06
MedMNIST,2,0.11424606
MedMNIST,4,0.08136627
MedMNIST,8,0.05262296
MedMNIST,12,0.04147246
MedMNIST,16,0.032744933
MedMNIST,20,0.028843459
