Epoch,Loss,Gradient,Gradient_Variance
1,1.7813774643580484,0.8765017,
2,1.5434734568455921,0.8038758,
3,1.7767188760296049,0.88095486,
4,1.5392182670498016,0.8076627,
5,1.537083449727837,0.8095163,
6,2.0045093428582175,0.9634333,
7,1.7674012292755465,0.889464,
8,1.7650388588599522,0.8915379,
9,1.5284967636478464,0.8166561,
10,1.7602840129358728,0.895612,
11,1.7579066369232557,0.8975996,
12,1.7555107240367798,0.8995688,
13,1.7530997289265489,0.90151846,
14,1.5175462824878216,0.82505536,
15,1.7482485648618336,0.90533906,
16,1.745825790433912,0.90719634,
17,1.9758865091085012,0.9882791,
18,1.7409275559746837,0.91085386,
19,1.274324258740005,0.75298965,
20,1.735979851873934,0.9144114,
21,1.7335494430639007,0.91611075,
22,1.2682634367188599,0.7564435,
23,1.728661691709827,0.9194309,
24,1.7262470738422158,0.92102444,
25,1.9545885930796034,1.0040884,
26,1.951891293550668,1.0059376,
27,1.488474879884941,0.84368795,
28,1.9463821657557685,1.009604,
29,2.1735214642199745,1.0939795,
30,1.7111692877644238,0.9302815,
,,,0.05262296
