Epoch,Loss,Gradient,Gradient_Variance
1,2.135641745840891,0.79012376,
2,1.6446604531327482,0.67600906,
3,1.8878618006519208,0.7375457,
4,1.886356545466831,0.74043906,
5,1.6405017199702638,0.68385625,
6,1.3948837145752795,0.6266978,
7,1.3936009720980493,0.62899756,
8,1.6362950593965464,0.69157046,
9,2.122586586157602,0.81526256,
10,1.8771976151851133,0.7574805,
11,1.8756057124666654,0.76034445,
12,2.117440271482069,0.8246845,
13,1.6290175936850706,0.70438945,
14,2.3570399257630044,0.8931298,
15,1.6259368147219972,0.7096238,
16,1.3814562494949245,0.64961535,
17,1.8655740497444095,0.7777622,
18,1.8638784004063143,0.7806003,
19,1.3771680206193413,0.65642977,
20,1.6180643894872153,0.722497,
21,1.616477975277335,0.7250044,
22,1.372809469233797,0.6631163,
23,1.6132752880306096,0.7299813,
24,2.0952529033521885,0.86233234,
25,1.8516749001069455,0.80015135,
26,1.6083438215097892,0.7374191,
27,1.6066258211017894,0.7399497,
28,1.8460797189774363,0.80862224,
29,1.6031539449244256,0.7449692,
30,1.8422443748367463,0.8142569,
,,,0.04147246
