Epoch,Loss,Gradient,Gradient_Variance
1,1.993884355365773,0.7992365,
2,1.4513962428761815,0.6635993,
3,2.5260745471540518,0.9506972,
4,1.984100467499739,0.8139846,
5,1.7121574410138463,0.7466645,
6,1.9778179475049704,0.8229243,
7,1.706142685998623,0.75493926,
8,1.7031035015537086,0.7590154,
9,1.4325494096046631,0.6888139,
10,1.6972167882284352,0.76657414,
11,1.9613623709928198,0.8451778,
12,1.6911107707588566,0.7742023,
13,1.954442044794715,0.85401636,
14,1.6848627586352691,0.7816679,
15,1.6818268404250045,0.7850833,
16,1.4128389423169774,0.7115689,
17,1.6752304392457378,0.792623,
18,2.2019869787059054,0.95307404,
19,1.6689276143308023,0.7993257,
20,2.1940515074576354,0.9621288,
21,2.1899688041124903,0.96665,
22,2.4492266318178726,1.0520754,
23,1.9182379731095818,0.8945425,
24,1.6514362579455562,0.8166402,
25,2.1727375907703412,0.98470265,
26,1.6441748946164887,0.82326293,
27,2.1640644245754985,0.9932268,
28,2.1598693093418553,0.9971276,
29,2.1553745340008654,1.0013211,
30,1.8902424166291636,0.9204087,
,,,0.09485082
