Epoch,Loss,Gradient,Gradient_Variance
1,1.721757888985137,0.678933,
2,1.720887111777452,0.68069476,
3,1.720013235036136,0.6824523,
4,1.7191370823079413,0.6842063,
5,1.7182574954090104,0.685956,
6,1.7173741240618274,0.68770117,
7,1.716488639735653,0.68944323,
8,1.7155993298087868,0.6911809,
9,1.7147075298427856,0.6929153,
10,1.7138115983776596,0.69464517,
11,1.7129133343509548,0.6963721,
12,1.7120112188463128,0.69809484,
13,1.71110657564591,0.6998146,
14,1.7101974905423751,0.7015299,
15,1.7092868213255439,0.7032431,
16,1.7083715066500738,0.7049516,
17,1.7074522266843333,0.7066563,
18,1.706530010392788,0.7083578,
19,1.7056046899182091,0.71005607,
20,1.7046756043520916,0.71175075,
21,1.703742934915851,0.71344197,
22,1.7028063835131217,0.71512926,
23,1.7018662843848849,0.7168133,
24,1.7009228897527997,0.7184941,
25,1.6999752295677122,0.7201709,
26,1.6990247513890835,0.72184503,
27,1.6980695206333298,0.7235146,
28,1.6971111574044528,0.7251813,
29,1.6961501750519752,0.72684515,
30,1.6951836440667576,0.72850424,
,,,0.00021884599
