Epoch,Loss,Gradient,Gradient_Variance
1,1.6815159958067074,0.71716297,
2,1.6807349863145564,0.7186463,
3,1.6799514960050903,0.7201284,
4,1.679164793260833,0.72160906,
5,1.678374699078706,0.7230879,
6,1.6775813284982088,0.7245653,
7,1.6767841994245247,0.7260411,
8,1.6759844596374605,0.7275158,
9,1.6751819951047064,0.7289899,
10,1.674375381575988,0.73046196,
11,1.6735657006514097,0.73193294,
12,1.6727515899665175,0.73340183,
13,1.6719351138506402,0.73487073,
14,1.6711140620626006,0.73633736,
15,1.670290361440114,0.7378038,
16,1.6694633656202296,0.73926926,
17,1.6686322794459993,0.7407333,
18,1.6677961835373398,0.74219507,
19,1.6669576875901282,0.7436569,
20,1.666115037457094,0.74511737,
21,1.665268107002552,0.7465764,
22,1.6644175000889074,0.7480345,
23,1.6635634525907712,0.7494918,
24,1.6627052737669137,0.750948,
25,1.6618422180708858,0.7524023,
26,1.6609758301200577,0.753856,
27,1.6601055542998537,0.7553088,
28,1.6592310779194792,0.7567605,
29,1.6583517917416415,0.75821024,
30,1.6574684062829288,0.7596588,
,,,0.0001608373
