Epoch,Loss,Gradient,Gradient_Variance
1,1.8807605160567633,0.63967,
2,1.8554774899703304,0.69301784,
3,1.8265322759084268,0.7441976,
4,1.793826049875425,0.7920307,
5,1.7587131099790956,0.8322317,
6,1.7190002177102512,0.8697299,
7,1.6785618204056738,0.896802,
8,1.636285608152034,0.9157962,
9,1.5934160324702866,0.9252971,
10,1.5497799544060635,0.9279966,
11,1.5076962880064604,0.9212158,
12,1.4662327388359635,0.90862656,
13,1.42663062646302,0.8902053,
14,1.3898642566542778,0.86499727,
15,1.3545362612002365,0.83481467,
16,1.3213049025056267,0.8046731,
17,1.2915447348341218,0.77114165,
18,1.2637131939752122,0.74325997,
19,1.2388326411293573,0.7124139,
20,1.2150140697266896,0.6675302,
21,1.1946061356979303,0.63435674,
22,1.1753333936381334,0.59663844,
23,1.1586007899077262,0.57699585,
24,1.1433661360158855,0.5528072,
25,1.1293658239542637,0.5252873,
26,1.1169828903215113,0.49466988,
27,1.1059743451385557,0.4400774,
28,1.0959980282500625,0.4176016,
29,1.0869315793741479,0.4143369,
30,1.0787927218141258,0.41912356,
,,,0.11578247
