Epoch,Loss,Gradient,Gradient_Variance
1,1.7230133330312538,0.6265353,
2,1.7223654968819553,0.62813663,
3,1.72171386225138,0.62973845,
4,1.721059239635629,0.63134146,
5,1.7204004909842396,0.63294506,
6,1.7197393067410822,0.63455045,
7,1.7190735589755672,0.6361563,
8,1.7184051473887496,0.637764,
9,1.7177324979915765,0.6393725,
10,1.717055270963596,0.64098173,
11,1.7163751986141467,0.6425933,
12,1.7156914347004981,0.6442062,
13,1.715002660269887,0.64582,
14,1.7143097900381414,0.6474355,
15,1.7136141930163389,0.6490535,
16,1.7129126584010737,0.65067184,
17,1.712208524089818,0.6522934,
18,1.7114991028881683,0.6539158,
19,1.7107854722709206,0.6555404,
20,1.7100670035823677,0.6571666,
21,1.7093447771755785,0.65879536,
22,1.7086181597388475,0.66042626,
23,1.7078865755265114,0.6620589,
24,1.7071499197151043,0.6636933,
25,1.7064094846130085,0.66533065,
26,1.7056628565561691,0.6669689,
27,1.7049123057580005,0.66861,
28,1.7041562950344178,0.67025274,
29,1.7033958462037984,0.6718981,
30,1.7026299993079885,0.6735453,
,,,0.0001967052
