Epoch,Loss,Gradient,Gradient_Variance
1,1.7413451747585638,0.5779733,
2,1.7407426944271842,0.57966125,
3,1.7401380154509416,0.5813516,
4,1.7395292767939667,0.58304346,
5,1.7389162678158527,0.5847366,
6,1.7383001351082636,0.58643204,
7,1.737679740419096,0.58812904,
8,1.7370556796539012,0.58982825,
9,1.7364284033596267,0.5915301,
10,1.7357967460515316,0.5932338,
11,1.7351615869286394,0.5949402,
12,1.734522069259026,0.5966487,
13,1.7338787229376116,0.59836,
14,1.733231065626817,0.60007375,
15,1.732579209852501,0.6017902,
16,1.7319229076665639,0.6035093,
17,1.731261623372441,0.6052308,
18,1.7305969758459938,0.606956,
19,1.7299273007722427,0.6086837,
20,1.7292520953018469,0.6104139,
21,1.7285742375373931,0.6121485,
22,1.7278900165887616,0.61388505,
23,1.7272013513618873,0.6156249,
24,1.726507827705426,0.617368,
25,1.7258097133411336,0.6191146,
26,1.7251068240661491,0.6208645,
27,1.724397915643998,0.62261695,
28,1.7236843039071996,0.6243731,
29,1.7229663593694233,0.6261329,
30,1.7222429005455568,0.6278958,
,,,0.00022180434
