Dataset,Qubits,Gradient_Variance
Iris,2,0.27342156
Iris,4,0.0852443
Iris,8,0.00047750678
Iris,12,0.0004818405
Iris,16,0.0003154474
Iris,20,0.00022094723
MNIST,2,0.14010163
MNIST,4,0.1355972
MNIST,8,0.1355135
MNIST,12,0.13399449
MNIST,16,0.12049329
MNIST,20,8.319366e-05
MedMNIST,2,0.25758407
MedMNIST,4,0.22802156
MedMNIST,8,0.16047715
MedMNIST,12,0.11201813
MedMNIST,16,0.064757876
MedMNIST,20,0.022811206
