Epoch,Loss,Gradient,Gradient_Variance
1,1.0828595638402845,0.5237707,
2,1.0821199932566512,0.52218014,
3,1.0813826136905635,0.5205891,
4,1.0806477565731667,0.51899886,
5,1.07991531665556,0.5174089,
6,1.0791851322906614,0.51581883,
7,1.0784574884306488,0.5142293,
8,1.0777322972052177,0.51264024,
9,1.0770096265209623,0.51105183,
10,1.0762896560922899,0.5094645,
11,1.0755721641009446,0.50787777,
12,1.0748573512722035,0.5062919,
13,1.0741451194016571,0.50470704,
14,1.0734357103493726,0.50312376,
15,1.072728887666579,0.5015412,
16,1.0720249126511385,0.49996018,
17,1.0713238106766398,0.49838108,
18,1.0706253293077894,0.4968028,
19,1.0699298008954548,0.49522656,
20,1.0692369213928687,0.4936514,
21,1.0685471576023908,0.49207875,
22,1.0678601932206708,0.49050772,
23,1.067176146388975,0.4889386,
24,1.0664950351004001,0.4873716,
25,1.0658167186927991,0.48580605,
26,1.0651414601671034,0.48424307,
27,1.0644692014827837,0.4826825,
28,1.0638000178104785,0.48112443,
29,1.0631335591260394,0.47956774,
30,1.0624703134630862,0.47801438,
,,,0.00018677315
