Epoch,Loss,Gradient,Gradient_Variance
1,1.434190409678762,0.9162445,
2,1.4328973705620849,0.9164623,
3,1.4316046102617943,0.9166732,
4,1.430311102425117,0.9168761,
5,1.4290168449861251,0.91707075,
6,1.4277221813438912,0.9172577,
7,1.426428106614045,0.9174385,
8,1.4251333762802771,0.9176113,
9,1.4238383372681884,0.91777647,
10,1.4225427080242454,0.9179337,
11,1.4212471018390984,0.91808385,
12,1.419950988245719,0.9182261,
13,1.418655284277718,0.91836196,
14,1.4173586701509804,0.9184892,
15,1.4160621027549747,0.9186095,
16,1.4147653887495528,0.9187225,
17,1.4134683924611882,0.9188279,
18,1.412171270363455,0.9189259,
19,1.4108736397437018,0.91901594,
20,1.409575972751341,0.9190989,
21,1.4082785304932244,0.9191749,
22,1.4069803974090302,0.9192428,
23,1.405682480365713,0.91930366,
24,1.404384115806237,0.9193568,
25,1.4030860114963695,0.9194029,
26,1.4017878445732068,0.91944176,
27,1.4004890148673665,0.91947234,
28,1.3991907764485232,0.91949666,
29,1.3978921163548874,0.9195129,
30,1.3965935789084938,0.9195222,
,,,1.017485e-06
