Dataset,Qubits,Gradient_Variance
Iris,2, 0.27342156
Iris,4,0.0852443
Iris,8,0.00047750678
Iris,12,0.0003154474
Iris,16,0.00022094723
Iris,20,0.00017017109
MNIST,2,0.14861922
MNIST,4,0.12340275
MNIST,8,0.12055176
MNIST,12,0.11180876
MNIST,16,7.0240145e-05
MNIST,20,1.017485e-06
MedMNIST,2,0.2071586
MedMNIST,4,0.10360843
MedMNIST,8,0.0468961
MedMNIST,12,0.055663574
MedMNIST,16,0.009546516
MedMNIST,20,0.009546516
