Epoch,Loss,Gradient,Gradient_Variance
1,1.6979036843864812,0.91618156,
2,1.669336224543314,0.9382139,
3,1.6380719652270053,0.9555903,
4,1.6037535861057466,0.9683119,
5,1.5669575469106356,0.9748231,
6,1.529305760499434,0.9740545,
7,1.4911016025648285,0.9651911,
8,1.4528984154492974,0.9508447,
9,1.4158848137285573,0.9294919,
10,1.380032266023267,0.9040098,
11,1.3460605751135637,0.8747549,
12,1.3144205269320233,0.8407949,
13,1.284496537109189,0.8060119,
14,1.2570635409746307,0.7686899,
15,1.2321534420482008,0.7291942,
16,1.208501934868401,0.7101105,
17,1.1880050976996626,0.6529147,
18,1.1687238411086935,0.6249179,
19,1.151838107723979,0.5860718,
20,1.1361585963470802,0.5727157,
21,1.1229008525903317,0.51842386,
22,1.109933322905817,0.5036081,
23,1.0990301303626957,0.45337638,
24,1.089689388432217,0.48494253,
25,1.0802682747538137,0.44549194,
26,1.0725197447560457,0.43039998,
27,1.0656679357883825,0.41946205,
28,1.0593390644075036,0.37642497,
29,1.0536198111571238,0.3786868,
30,1.048605068355056,0.3627351,
,,,0.1545392
