Epoch,Loss,Gradient,Gradient_Variance
1,3.0305238302900577,0.35321072,
2,2.2599074061550373,0.2997062,
3,2.258901216380609,0.3066257,
4,2.2578294766678613,0.3138121,
5,1.4880012015455588,0.25432375,
6,2.255545953696853,0.3285528,
7,2.254334501774211,0.33608237,
8,1.4851353986698796,0.27205986,
9,1.4841162119002078,0.27805328,
10,1.4831044126232067,0.2838545,
11,1.4820506910481746,0.28975567,
12,1.4809320406231092,0.2958775,
13,2.2463704858548934,0.38142967,
14,1.4786637906682871,0.30782393,
15,3.009196160357208,0.48041415,
16,1.4760753873943095,0.32081664,
17,3.005064892849678,0.5008746,
18,2.2380680642941004,0.4227768,
19,1.471784667420522,0.3409969,
20,2.9980507038440964,0.5335199,
21,1.4685850149302173,0.35514542,
22,2.230007374678284,0.45870844,
23,2.227948696735512,0.4673182,
24,1.4634978016955413,0.3762273,
25,2.2235226049117656,0.48519954,
26,2.2211754027878152,0.49436012,
27,1.4581444750329622,0.39678776,
28,1.4562067861178007,0.40389585,
29,1.4543618070568745,0.41048014,
30,1.452475651616741,0.4170687,
,,,0.02120097
