Dataset,Qubits,Gradient_Variance
Iris,2,0.14604063
Iris,4,0.034936253
Iris,8,0.00060846435
Iris,12,0.000606313
Iris,16,0.0005062612
Iris,20,0.00033136088
MNIST,2,0.12632817
MNIST,4,0.115210555
MNIST,8,0.11389099
MNIST,12,0.10844645
MNIST,16,0.107993916
MNIST,20,0.0006299362
MedMNIST,2,0.04276009
MedMNIST,4,0.032338165
MedMNIST,8,0.02256153
MedMNIST,12,0.02120097
MedMNIST,16,0.013080126
MedMNIST,20,0.007819401
