Epoch,Loss,Gradient,Gradient_Variance
1,1.9223177684686172,0.20863827,
2,1.9220500668226916,0.21112487,
3,1.9217781122340725,0.21361722,
4,1.921502319588999,0.21611579,
5,1.9212221187228216,0.21862061,
6,1.9209374983315741,0.22113222,
7,1.9206492775366613,0.22365098,
8,1.9203562722924366,0.22617704,
9,1.920059131231706,0.22871074,
10,1.9197569204143423,0.2312523,
11,1.919450985233616,0.23380226,
12,1.9191401881737136,0.23636061,
13,1.9188243740834432,0.23892769,
14,1.918504358116732,0.24150391,
15,1.918178710442547,0.24408922,
16,1.917848168190837,0.24668397,
17,1.9175131480642007,0.24928851,
18,1.9171724072824143,0.2519028,
19,1.916826712589224,0.2545271,
20,1.9164755117676777,0.2571616,
21,1.9161194144115106,0.25980648,
22,1.9157578380135432,0.2624618,
23,1.9153901059782155,0.2651275,
24,1.9150180379894575,0.2678042,
25,1.9146394526352284,0.27049133,
26,1.9142550471993482,0.27318928,
27,1.9138657180464504,0.27589828,
28,1.9134695737873637,0.27861777,
29,1.9130679967014088,0.2813483,
30,1.912660663013537,0.28408977,
,,,0.0005062612
