Epoch,Loss,Gradient,Gradient_Variance
1,1.4250857655758746,0.9693775,
2,1.423933315474736,0.96964234,
3,1.4227806598279022,0.9699024,
4,1.4216268918039274,0.97015595,
5,1.4204723929607297,0.9704038,
6,1.4193162873250726,0.9706442,
7,1.4181597403809543,0.97087944,
8,1.4170019837997814,0.9711079,
9,1.415843371937335,0.9713303,
10,1.4146841906137004,0.9715471,
11,1.4135233912195166,0.9717567,
12,1.412362054358926,0.9719606,
13,1.411199324550724,0.9721576,
14,1.4100358815728564,0.9723485,
15,1.4088715424567688,0.97253346,
16,1.4077064377782225,0.97271234,
17,1.4065396345232173,0.9728836,
18,1.4053727188111373,0.97304994,
19,1.4042043798849646,0.97320914,
20,1.4030350649515322,0.9733619,
21,1.4018648791246238,0.9735085,
22,1.4006936654684905,0.9736484,
23,1.3995215657581508,0.97378194,
24,1.3983487590729116,0.9739095,
25,1.3971744907712782,0.9740299,
26,1.3959999870707973,0.97414494,
27,1.3948239042748243,0.97425234,
28,1.3936470321482528,0.97435343,
29,1.392469344417045,0.9744482,
30,1.3912906614089853,0.9745365,
,,,2.4210906e-06
