Epoch,Loss,Gradient,Gradient_Variance
1,1.7616465264134193,0.5148929,
2,1.7610228040363876,0.5169236,
3,1.7603953587484016,0.518954,
4,1.7597650908262816,0.5209844,
5,1.7591297497692153,0.52301407,
6,1.7584915765178748,0.5250442,
7,1.7578499466292559,0.5270746,
8,1.7572047187779898,0.5291053,
9,1.7565548709466408,0.53113604,
10,1.7559017091400249,0.53316724,
11,1.7552431918948848,0.53519845,
12,1.7545823389893684,0.537231,
13,1.75391684473768,0.5392639,
14,1.7532469023962942,0.5412973,
15,1.7525726365926353,0.54333156,
16,1.7518954759693433,0.5453673,
17,1.7512124254239925,0.5474032,
18,1.7505263373726445,0.5494408,
19,1.7498348866337405,0.5514789,
20,1.7491404498974472,0.55351895,
21,1.748440366036889,0.55555946,
22,1.7477357529993578,0.55760103,
23,1.7470265886436238,0.55964375,
24,1.746313673100822,0.5616883,
25,1.745595747782492,0.5637339,
26,1.744872204875942,0.56578004,
27,1.7441443133621475,0.5678277,
28,1.7434122950293698,0.56987697,
29,1.7426756941841839,0.5719276,
30,1.7419320676686076,0.5739782,
,,,0.0003107663
