Epoch,Loss,Gradient,Gradient_Variance
1,1.1180652296516114,0.891495,
2,1.1170881622153848,0.89043194,
3,1.1161122799931507,0.8893651,
4,1.1151368285696557,0.8882917,
5,1.1141623787695751,0.88721406,
6,1.113189009943257,0.8861319,
7,1.112216601980418,0.8850448,
8,1.1112451876635028,0.8839534,
9,1.1102745407611825,0.8828562,
10,1.1093050061362304,0.8817546,
11,1.1083360753073321,0.880647,
12,1.107368785173509,0.87953645,
13,1.1064023462752912,0.87842053,
14,1.1054373065262377,0.87730074,
15,1.10447304761458,0.87617517,
16,1.1035100753147782,0.8750455,
17,1.1025481185988235,0.8739107,
18,1.1015874224662048,0.8727717,
19,1.1006279404647477,0.87162805,
20,1.0996696390184297,0.8704795,
21,1.0987126853401592,0.8693268,
22,1.0977570974642596,0.86817014,
23,1.0968024556304183,0.86700785,
24,1.0958494138383306,0.8658419,
25,1.0948974913243175,0.8646709,
26,1.0939469475766834,0.86349577,
27,1.0929978105620421,0.8623162,
28,1.092049971652884,0.8611322,
29,1.0911036889720196,0.85994434,
30,1.0901585729339904,0.8587515,
,,,9.5577685e-05
