Dataset,Qubits,Gradient_Variance
Iris,2,0.27342156
Iris,4,0.0852443
Iris,8,0.00047750678
Iris,12,0.0003154474
Iris,16,0.00022094723
Iris,20,0.00025868777
MNIST,2,0.14046149
MNIST,4,0.12897074
MNIST,8,0.12525675
MNIST,12,0.11026983
MNIST,16,0.101698145
MNIST,20,0.00020003766
MedMNIST,2,0.43277237
MedMNIST,4,0.11835134
MedMNIST,8,0.027652126
MedMNIST,12,0.021004409
MedMNIST,16,0.00014235453
MedMNIST,20,9.580846e-05
