Epoch,Loss,Gradient,Gradient_Variance
1,1.7999296700507375,0.35899544,
2,1.799489156537285,0.36125898,
3,1.79904469695097,0.36352515,
4,1.7985959717252882,0.365794,
5,1.798143062645896,0.3680657,
6,1.7976867745672316,0.37034085,
7,1.797226277878826,0.37261945,
8,1.796761444844761,0.37490135,
9,1.7962927260913693,0.3771872,
10,1.7958193799926099,0.37947676,
11,1.7953420445565031,0.3817705,
12,1.794859734948466,0.38406816,
13,1.7943738915475376,0.38637066,
14,1.793882750647504,0.38867727,
15,1.7933872679526666,0.39098868,
16,1.7928868814703147,0.3933047,
17,1.79238184443654,0.39562565,
18,1.7918726355645989,0.39795187,
19,1.7913582506851258,0.400283,
20,1.790838408766643,0.4026192,
21,1.7903139691050984,0.40496078,
22,1.7897848010532698,0.40730774,
23,1.7892502164694306,0.40966007,
24,1.7887107215310711,0.41201797,
25,1.7881657567632485,0.4143812,
26,1.7876153028203634,0.41674995,
27,1.7870604289289471,0.41912463,
28,1.7864996415574967,0.42150462,
29,1.785933388077826,0.4238903,
30,1.7853614506439162,0.4262814,
,,,0.00040282495
